config_id,config_description,question_text,expected_doc_id,initial_retrieved_ids,reranked_ids,final_rank,is_hit_at_k,retriever_found_correct_doc
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,"Qual foi a decisão do Conselho Nacional de Justiça sobre o 7º Relatório Trimestral da Ouvidoria, referente ao período de Julho, Agosto e Setembro de 2011?",46931,"['46930', '46931', '46781', '59379', '50467', '48879', '49511', '45993', '50358', '49220']","['46931', '46781', '46930', '48879', '50358', '49220', '59379', '50467', '45993', '49511']",1.0,True,True
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Qual o período da inspeção presencial do Tribunal de Justiça do Estado do Pará no primeiro semestre de 2025?,5599,"['5598', '14000', '1339', '13860', '10321', '5850', '13861', '13862', '1340', '5599']","['5598', '5599', '1340', '13862', '1339', '13861', '13860', '14000', '5850', '10321']",2.0,True,True
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,"Qual foi a decisão do Conselho sobre a permissão para que oficiais de Registro Civil das Pessoas Naturais em Minas Gerais realizem atos notariais em localidades que não são sede de Comarca, conforme a Lei Federal nº 8.935/1994?",2367,"['33669', '9275', '53423', '34688', '40669', '43852', '38056', '53421', '31368', '49641']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,"Qual foi a decisão do Conselho sobre a ratificação da liminar no Procedimento de Controle Administrativo nº 0004186-03.2017.2.00.0000, que envolvia a eliminação de uma candidata parda do concurso para Juiz Substituto do TJAM?",28009,"['29151', '53868', '25302', '51177', '27543', '56509', '36429', '56515', '39332', '51901']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Qual a finalidade do Grupo de Trabalho Técnico estabelecido pela Portaria Conjunta Nº 1 de 18 de fevereiro de 2020?,21837,"['14706', '28479', '27199', '21658', '52752', '23302', '18150', '28873', '50361', '17800']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Quando esta Instrução Normativa começa a ter validade?,20708,"['36950', '4946', '36953', '23595', '5481', '1054', '53001', '20800', '42911', '42569']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Qual é o objetivo principal da Portaria Nº 15 de 25/01/2021 e quais são os membros do Comitê Gestor do Banco Nacional de Monitoramento de Prisões (BNMP 2.0) listados em sua nova redação?,18077,"['20110', '26118', '23034', '20108', '20080', '25781', '36755', '20465', '17560', '15377']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Qual o nome completo e o número de registro profissional do advogado mencionado no texto?,43358,"['13655', '36875', '626', '9289', '28433', '33670', '52766', '59617', '26157', '23709']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Quem presidiu o julgamento da apuração de infração disciplinar contra magistrado que ocorreu em 14 de outubro de 2009?,53979,"['47835', '51865', '56843', '39914', '20713', '40674', '14360', '52191', '41237', '24553']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Quem é o responsável por definir os critérios e procedimentos para o pagamento ou ressarcimento das despesas de certificação profissional de agentes públicos?,55975,"['50783', '19439', '53407', '20203', '53071', '17432', '29179', '26189', '48296', '14283']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Qual o assunto tratado no Procedimento de Controle Administrativo 0005879-61.2013.2.00.0000 do CNJ?,37128,"['49412', '43601', '51736', '51571', '32138', '27719', '49631', '48307', '58707', '49414']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Quem é o relator do Pedido de Esclarecimentos no Procedimento de Controle Administrativo nº 2008.10.00.000693-7?,57042,"['51736', '48092', '48019', '35094', '53826', '58976', '51396', '49412', '58582', '12405']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,"Quais sanções podem ser aplicadas a um ente federado inadimplente e quais restrições ele sofre enquanto a omissão persistir, segundo o texto?",22151,"['28466', '25617', '55313', '15039', '31765', '29733', '22786', '47785', '55620', '30684']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,"Quem foi adicionado à composição do Comitê Gestor da Numeração Única e das Tabelas Processuais Unificadas do Poder Judiciário pela Portaria Nº 312 de 18/09/2024, e qual a sua função e instituição de origem?",4173,"['57153', '50665', '3486', '58886', '25926', '37826', '57398', '55604', '57142', '6185']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Quais foram as deliberações unânimes do Conselho no julgamento do Processo Administrativo Disciplinar 0005696-90.2013.2.00.0000?,35060,"['39479', '31513', '43601', '35410', '41138', '41609', '35217', '36444', '39725', '29630']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,"Qual foi a decisão do Conselho na Revisão Disciplinar n.º 0002792-34.2012.2.00.0000, na qual Ana Valéria de Queiroz Santiago Zipparro era a requerente e o Tribunal de Justiça do Estado de Rondônia o requerido?",38456,"['43891', '38596', '44871', '44698', '45030', '40612', '38822', '44868', '38746', '41015']",[],inf,False,False
minilm_fixed_reranked,Retriever: MiniLM Fixo + Re-ranker,Qual é o prazo estabelecido para que os tabeliães de protesto de títulos de todo o território nacional instituam a CENPROT?,23216,"['8957', '4804', '4803', '8953', '23387', '23220', '23217', '23211', '4812', '23219']",[],inf,False,False
